record_id_a,record_id_b,given_name_sim,surname_sim,address_sim,suburb_sim,date_of_birth_exact,state_exact,postcode_exact,hybrid_empi_score,ecm_probability,model_score,model_decision,decision_reason,given_name_a,surname_a,date_of_birth_a,address_a,suburb_a,state_a,postcode_a,sex_a,identifier_a,given_name_b,surname_b,date_of_birth_b,address_b,suburb_b,state_b,postcode_b,sex_b,identifier_b
rec-2020-org,rec-2020-dup-0,0.47222222222222215,0.9333333333333333,0.8787878787878789,1.0,1,1,0,0.7313981924508239,0.9999995864270705,0.7985485409448856,Needs Human Review,Sent to review because score is within the uncertainty band.,alissa,ryan,19420405,20 rosehill,malvern,tas,2880,,4676455,kyle,ryna,19420405,33 rosehill,malvern,tas,2884,,4676455
rec-3506-org,rec-3506-dup-0,0.5277777777777778,0.5277777777777778,0.9657471264367816,0.95,1,1,1,0.7310732002419842,0.9999985321217695,0.7983045332119305,Needs Human Review,Sent to review because score is within the uncertainty band.,isaiah,crossman,19680729,14 hopetoun circuit inveraray,emu park,nsw,3175,,7045589,crossman,isaiah,19680729,14 hopetoun c ircuit inveraary,emu pafk,nsw,3175,,7045589
rec-1003-org,rec-1003-dup-0,0.5119047619047619,0.5119047619047619,0.9925925925925926,0.9636363636363636,1,1,1,0.730727829675198,0.9999985321217695,0.7980455052868409,Needs Human Review,Sent to review because score is within the uncertainty band.,bradley,matthews,19481122,2 jondol place horseshoe ck,jacobs well,sa,7018,,8927667,matthews,bradley,19481122,2 jondol place horsesheo ck,jacobs qell,sa,7018,,8927667
rec-2525-org,rec-2525-dup-0,0.8333333333333334,1.0,0.9333333333333333,0.0,1,1,0,0.7312280701754386,0.9975208329596453,0.7978012608714903,Needs Human Review,Sent to review because score is within the uncertainty band.,erin,excell,19460622,15 waller crescent bindaree,west swan,qld,2539,,5466287,vrin,excell,19460622,15 waller crescent,,qld,2359,,5466287
rec-3924-org,rec-3924-dup-0,0.48333333333333334,0.5185185185185185,1.0,0.9833333333333333,1,1,1,0.730214424951267,0.9999985321217695,0.7976604517438926,Needs Human Review,Sent to review because score is within the uncertainty band.,mitchell,havelberg,19480510,2 dempster place stonehouse,barwon heads,nsw,2750,,7123931,haveobferg,emiily,19480510,2 dempster place stonehouse,barwo nheads,nsw,2750,,7123931
rec-475-org,rec-475-dup-0,0.0,0.6481481481481481,0.8561476837338907,0.96,1,1,1,0.7299086937126865,0.9999985321217695,0.7974311533149573,Needs Human Review,Sent to review because score is within the uncertainty band.,mitchell,mousellis,19480302,11 bougainville street river mews,safety bay,nsw,2722,,2186834,webb,mitchell,19480302,bougainville street rivermews,safetyfbay,nsw,2722,,2186834
rec-1348-org,rec-1348-dup-0,0.5,0.5,0.992,1.0,1,1,1,0.7291789473684211,0.9999985321217695,0.7968838435567582,Needs Human Review,Sent to review because score is within the uncertainty band.,benjamin,kerslake,19571214,6 mcdonnell close bethany,chester hill,nsw,2199,,3250168,kerslake,benjamin,19571214,6 mcdonnel lclose bethany,chester hill,nsw,2199,,3250168
rec-425-org,rec-425-dup-0,0.5119047619047619,0.5119047619047619,1.0,0.9277777777777778,1,1,1,0.7289557226399332,0.9999985321217695,0.7967164250103923,Needs Human Review,Sent to review because score is within the uncertainty band.,shantal,psorakis,19850722,61 barcoo place stonyridge,hawthorn,vic,2324,,6633125,psorakis,shantal,19850722,61 barcoo place stonyridge,hawtnhorn,vic,2324,,6633125
rec-3394-org,rec-3394-dup-0,0.6666666666666666,0.6666666666666666,1.0,1.0,1,1,0,0.7284210526315789,0.9999603540304169,0.7963058779812884,Needs Human Review,Sent to review because score is within the uncertainty band.,emiily,finlay,19000801,20 temperley street lincoln close,bellevue hill,qld,2231,,1739435,finlay,emiily,19000801,20 temperley street lincoln close,bellevue hill,qld,3400,,1739435
rec-808-org,rec-808-dup-0,0.5,0.5,0.9872983870967742,1.0,1,1,1,0.7283870967741937,0.9999985321217695,0.7962899556110876,Needs Human Review,Sent to review because score is within the uncertainty band.,tai,philps,19610906,17 burrendong street el woodaro,rokeby,nsw,6258,,2863233,philps,tai,19610906,17 burrendong street el wooadaro,rokeby,nsw,6258,,2863233
