lower_threshold,upper_threshold,ai_only_precision,ai_only_recall,ai_only_f1_score,ai_hitl_precision,ai_hitl_recall,ai_hitl_f1_score,auto_match_count,auto_non_match_count,review_needed_count,review_workload_percentage,false_positives,false_negatives
0.5,0.8,1.0,0.8056,0.8923349579087283,1.0,0.9936,0.9967897271268058,4028,146037,952,0.0063039260480608145,0,972
0.5,0.85,1.0,0.7586,0.8627317184123736,1.0,0.9936,0.9967897271268058,3793,146037,1187,0.007860042246899356,0,1207
0.5,0.9,1.0,0.5992,0.7493746873436719,1.0,0.9936,0.9967897271268058,2996,146037,1984,0.013137593780832622,0,2004
0.5,0.95,1.0,0.5232,0.6869747899159664,1.0,0.9936,0.9967897271268058,2616,146037,2364,0.015653866783209836,0,2384
0.55,0.8,1.0,0.8056,0.8923349579087283,1.0,0.99,0.9949748743718593,4028,146061,928,0.006145003542647517,0,972
0.55,0.85,1.0,0.7586,0.8627317184123736,1.0,0.99,0.9949748743718593,3793,146061,1163,0.007701119741486058,0,1207
0.55,0.9,1.0,0.5992,0.7493746873436719,1.0,0.99,0.9949748743718593,2996,146061,1960,0.012978671275419323,0,2004
0.55,0.95,1.0,0.5232,0.6869747899159664,1.0,0.99,0.9949748743718593,2616,146061,2340,0.01549494427779654,0,2384
0.6,0.8,1.0,0.8056,0.8923349579087283,1.0,0.985,0.9924433249370278,4028,146092,897,0.005939728639822007,0,972
0.6,0.85,1.0,0.7586,0.8627317184123736,1.0,0.985,0.9924433249370278,3793,146092,1132,0.007495844838660548,0,1207
0.6,0.9,1.0,0.5992,0.7493746873436719,1.0,0.985,0.9924433249370278,2996,146092,1929,0.012773396372593815,0,2004
0.6,0.95,1.0,0.5232,0.6869747899159664,1.0,0.985,0.9924433249370278,2616,146092,2309,0.01528966937497103,0,2384
0.65,0.8,1.0,0.8056,0.8923349579087283,1.0,0.9738,0.986726112068092,4028,146148,841,0.005568909460524312,0,972
0.65,0.85,1.0,0.7586,0.8627317184123736,1.0,0.9738,0.986726112068092,3793,146148,1076,0.0071250256593628535,0,1207
0.65,0.9,1.0,0.5992,0.7493746873436719,1.0,0.9738,0.986726112068092,2996,146148,1873,0.012402577193296118,0,2004
0.65,0.95,1.0,0.5232,0.6869747899159664,1.0,0.9738,0.986726112068092,2616,146148,2253,0.014918850195673334,0,2384
0.7,0.8,1.0,0.8056,0.8923349579087283,1.0,0.9416,0.9699217140502678,4028,146309,680,0.004502804320043439,0,972
0.7,0.85,1.0,0.7586,0.8627317184123736,1.0,0.9416,0.9699217140502678,3793,146309,915,0.0060589205188819805,0,1207
0.7,0.9,1.0,0.5992,0.7493746873436719,1.0,0.9416,0.9699217140502678,2996,146309,1712,0.011336472052815245,0,2004
0.7,0.95,1.0,0.5232,0.6869747899159664,1.0,0.9416,0.9699217140502678,2616,146309,2092,0.013852745055192461,0,2384
